Bandseite,L
Bandtyp,KAULS Objektband B2025/X Edelstahl 100/25mm
Besonderes,0
Betriebsauftrag,NA
Betriebsauftragsposition,NA
Bodeneinstand,0
Brandschutz,EI30
Drückergarnitur,NA
Einlaufseite_von_aussen,NA
Farbe_Bandseite,NCS S 5010-Y30R matt (Ocker)
Farbe_Futterseite,NCS S 5010-Y30R matt (Ocker)
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichtbreite_Massaufnahme,NA
Mauerlichtbreite_plan,840
Mauerlichthöhe_Massaufnahme,NA
Mauerlichthöhe_Massaufnahme_ab_MtR,NA
Mauerlichthöhe_plan,2140
Mauerstärke_Massaufnahme,NA
Mauerstärke_plan,250
Montageart,Blendrahmen
Muschelgriff_typ,NA
NPK_Pos.,NA
Rahmenfalzbreite,15
Rahmenfalztiefe,38
Rahmenstärke,53
Schiebtürbeschlag,NA
Schild_Rosette_Druecker,NA
Schild_Rosette_Zylinder,NA
Schliessblechtyp,Glutz B-1001
Schloss,NA
Schlosstyp,1102_RZ
Schwelle,30
Schwellentyp,30 x 20 CNS
Spion,NA
Typ,Rahmentüre
Türblatt_Falzbreite,NA
Türblatt_Falztiefe,NA
Türblatt_Farbe_Bandseite,NCS S 5010-Y30R matt (Ocker)
Türblatt_Farbe_Futterseite,NCS S 5010-Y30R matt (Ocker)
Türblattdicke,41
Türblattkanten,NCS S 5010-Y30R matt (Ocker)
Türblattkern,SP
Türblatttyp,TB Wirus P1 Vollspan 42mm EI30
Türschliesser,NA
Umfassungstyp,Rahmen
Zargen Bemerkung,NA
Zargen E-Mass,1003
Zargen-Profil,NA
Zargenfalzbreite,NA
Zargenfalztiefe,NA
Zargentiefe,NA
